sigla da uf;nome da uf;codigo da agencia;nome da agencia;codigo do municipio;nome do municipio;cnpj;razao social;bairro;Ano do RelatÛrio
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;05973832.0001-08;ADAILTON DA SILVA ME;PCA PADRE ALFREDO , 62 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;10441172.0001-54;ALAGOINHAS MITO MOTOS LTDA;AVENIDA JURACY MAGALHAES , 595 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;00824232.0001-64;ALAGOINHAS TECIDOS E CONFEC«¥ ES LTDA;RUA PRACA DA BANDEIRA , 113 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;08696073.0001-71;ALAGOMINAS CALCADOS LTDA;PRC PADRE ALFREDO SN , S / N - TEREO - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;07618208.0001-18;ALFAMASTER CONFEC«¥ ES LTDA;RUA FRANCISCO BATISTA , 110 - B - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;40493066.0001-85;AQUA FRESCA PERFUMARIA E COSMETICOS LTDA .;RUA J . J SEABRA , 45 - CASA - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;08715685.0001-64;ARATES DISTRIBUIDORA DE BEBIDAS LTDA;RUA CONSELHEIRO DANTAS , 450 - CASA - KENNEDY;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;13513940.0001-26;ARMARINHO E CONFEC«OES FAGUNDES;RUA FRANCISCO BATISTA , 2 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;08030659.0001-00;BARRETO VEICULOS LTDA;AVENIDA JURACY MAGALHAES , S / N - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;32619454.0001-31;BASTOS FREITAS & CIA LTDA;RUA DR JO√O DANTAS , 1220 - LOJA - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;01471949.0001-32;BRASKOL DISTRIBUIDORA DE BEBIDAS LTDA;AVENIDA JURACY MAGALHAES , S / N - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;09071894.0001-85;CEAB SUPERMERCADOS LTDA;AVENIDA LOURIVAL BATISTA , 10 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;09459515.0001-29;CIDADE COMERCIO DE PE«AS E AUTO CENTER LTDA;CONSELHEIRO JUNQUEIRA , 15 - ALAGOINHAS - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;05084021.0001-56;CLARA CLARA COMERCIO DE MOLAS LTDA;RODOVIA BR 101 , S / N - SN - KM 108;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;07893347.0001-50;COMERCIAL DE CAL«ADOS DONIZETE LTDA;RUA ANISIO CARDOSO , 58 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;03623645.0001-79;COMERCIAL DE CALCADOS ALAGOINHAS LTDA;RUA FRANCISCO BATISTA , 68 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;07503926.0001-49;COMERCIAL DE CALCADOS STILLU LTDA;PRACA J J SEABRA , 238 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;07054417.0001-86;COMERCIAL DE PETROLEOCDA LARANJA;RUA DR JO√O DASTAS , 115 - POSTO - SANTA TEREZINHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;10854145.0001-03;COMERCIAL PINTO DE CERQUEIRA LTDA;RUA C , S / N - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;07515746.0001-87;CONTIL COMERCIO E TRANSPORTE LTDA;RUA JARDIM SAO FRANCISCO , 387 - CONTIL - DOIS DE JULHO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;07549663.0001-09;COR E EMO ß√O COMERCIAL DE TINTAS LTDA;RUA VISCONDE DE S√O LOUREN«O , 26 - TERREO - CENTRO;2011
