sigla da uf;nome da uf;codigo da agencia;nome da agencia;codigo do municipio;nome do municipio;cnpj;razao social;bairro;Ano do RelatÛrio
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;15629579.0001-23;DROGARIA SILVA ROCHA LTDA;RUA VISCONDE DE S√O LOUREN«O , 79 - CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.05;Barreiras;00891206.0001-59;COOPERATIVA AGROPECUARIA DO OESTE DA BAHIA;RUA SERGIPE , 1103 - LOT MORADA NOBR - NOVA BARREIRAS;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.05;Barreiras;01547502.0001-08;DISTRIBUIDORA BARREIRAS DE ALIMENTOS LTDA;AV ANTONIO CARLOS MAGALHAES , 2420 - CASA TEREO - NOVO HORIZONTE;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.05;Barreiras;08074058.0001-91;LUZ MOTOS COM…RCIO SERVI«OS E PE«AS LTDA;AV . ANTONIO CARLOS MAGALH√ES , 1932 - CASA TERREO - NOVO HORIZONTE;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.05;Barreiras;05496095.0001-08;OESTE DIESEL LTDA;RODOVIA BR 020 , S / N - KM 606 - SEDE;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.05;Barreiras;08270608.0001-48;PARAISO MOTORS COM…RCIO DE VEÕCULOS LTDA;AVENIDA AYLON MACEDO , 134 - CASA TERREO - BOA VISTA;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.05;LuÃs Eduardo;88680095.0001-82;LAVROBRAS COMERCIO E REPRESENTA«¥ ES LTDA .;AV . JK QUADRA 04 , S / N - LOTES 01 E 02 - JARDIM PARAISO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.05;LuÃs Eduardo;02227267.0001-41;MAXUM MAQUINAS E EQUIPAMENTOS LTDA;AVENIDA LUIS EDUARDO MAGALHAES , S / N - JARDIM DAS ACACIAS;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.05;LuÃs Eduardo;08145578.0001-48;MISSIONEIRA COM E REPR DE PROD AGROPEC LTDA;AV LUIS EDUARDO MAGALHAES , S / N - QD NI - LT NI - JARDIM DAS ACACIAS;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.05;LuÃs Eduardo;03010885.0001-06;PORTO BRASIL COMBUSTIVEIS LTDA;AVENIDA BARREIRAS , 05 - CENTTO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.05;LuÃs Eduardo;09098213.0001-72;POSTO IMPERADOR LTDA;ROD BR 020 , S / N - KM 211 - SEDE;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.05;Brumado;16282584.0001-75;M & M MOTOS LTDA;AV . CORONEL SANTOS , 380 - S√O FELIX;2011
BA;BAHIA;29.04902.00;Cachoeira;29.11600.05;Governador;03562365.0001-06;PETROMERC DERIVADOS DE PETROLEO LTDA;RODOVIA BR 101 , S / N - KM 213 - SEDE;2011
BA;BAHIA;29.05206.00;Caetit»;29.05008.05;Cacul»;16163057.0001-41;VS DISTRIBUIDORA LTDA;AV . CONEGO MIGUEL MONTEIRO , 646 - CENTRO;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;09283994.0001-75;CN COMERCIO DE PNEUS LTDA;RUA A , S / N - LOTE A JD DOS F - ABRANTES;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;16165292.0001-52;COMFIACO COMERCIO DE FERRO E ACO LTDA;AVENIDA EIXO URBANO CENTRAL , S / N - GP FND , R BANDE - CENTRO;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.05;Cama«ari;01791324.0001-58;FERIMPORT COMERCIO REPRESENTA ß√O E IMPORTA«°;AV JORGE AMADO , S / N - LOJA - PONTO CERTO;2011
