sigla da uf;nome da uf;codigo da agencia;nome da agencia;codigo do municipio;nome do municipio;cnpj;razao social;bairro;Ano do RelatÛrio
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.05;Feira de;02299645.0001-00;HORA DISTRIBUIDORA DE PETROLEO LTDA;AV PRESIDENTE DUTRA , 2369 - CENTRO;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.06;Salvador;73849952.0001-58;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS LTDA;AVENIDA SANTIAGO DE COMPOSTELA , 425 - BROTAS;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.06;Salvador;97422620.0001-50;BOMPRE«O BAHIA SUPERMERCADOS LTDA .;ROD . SALVADOR FEIRA DE SANTANA BR 234 , S / N - KM 8 - PIRAJA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.06;Salvador;14842447.0001-12;EMPRESA BAIANA DE ALIMENTOS S / A - EBAL;AVENIDA GRA«A LESSA , 888 - VALE DO OGUNJ - BROTAS;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.06;Salvador;40606402.0001-59;INDIANA VEICULOS LTDA;AV ANTONIO CARLOS MAGALHES , 4375 - IGUATEMI;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.06;Salvador;02805889.0001-00;LARCO COML DE PRODUTOS DE PETROLEO LTDA;AV BARROS REIS , 634 - 1 PAVIMENTO - BARROS REIS;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.06;Salvador;15226699.0001-80;SA NACIONAL DE VEICULOS LTDA;AV . MARIO LEAL FERREIRA , 500 - BONOCO - BROTAS;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.06;Salvador;15103047.0001-58;SANTANA S / A DROGARIA FARM CIAS;AVENIDA LUIZ VIANA FILHO , 2570 - ED . BAMBANGA - IMBU ¨;2011
BA;BAHIA;29.29206.00;S¡o Francisco do Conde;29.06501.05;Candeias;01125282.0001-16;PETROBAHIA S / A;AV TANCREDO NEVES , 700 - SEDE;2011
BA;BAHIA;29.33307.00;Vit”ria da Conquista;29.33307.05;Vit”ria da;16182834.0001-03;LOJAS INSINUANTE LTDA;RUA MONSENHOR OLIMPIO , 47 - CENTRO;2011
