codigo da uf;nome da uf;codigo da agencia;nome da agencia;codigo do municipio;nome do municipio;cnpj;razao social;bairro;Ano do RelatÛrio
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;07193655.0001-72;CARLOS ALBERTO DE BRITO CONSTRUCOES;ALAGOINHAS VELHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;02773076.0001-85;FAPE TERRAPLENAGEM E CONSTRU ≤ ¥ O;RODOVIA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;11317502.0001-67;HS CONSTRUCOES LTDA;ALAGOINHAS VELHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;16075319.0001-16;LF ARQUITETURA ENGENHARIA E;CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;11609657.0001-77;MGE PINTURAS E CONSTRUCOES LTDA;DOIS DE JULHO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;10280094.0001-53;RU INSTALACOES ELETRICAS E;ALAGOINHAS VELHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;73388472.0001-37;VITAL SERVICOS LTDA;ALAGOINHAS VELHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;02478946.0001-93;W & K SERVI ≤ OS INDUSTRIAIS LTDA;CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.02054.00;Ara as;11090762.0001-42;TRANSCONTERRA CONSTRUCOES LTDA ME;CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;02546557.0001-58;ANDRESILVA SERVI ≤ OS E CONSTRU ≤ öES;PIONEIRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;03256825.0001-60;BAHIA ENGENHARIA LTDA EPP;CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;11037714.0001-90;DJS CONSTRUCOES E SERVICOS LTDA;SANTA RITA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;04123924.0001-36;HG - PERFURA ≤ öES LTDA .;PLANALTO 1;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;40595043.0001-81;MACALTEC MANUTEN ≤ ¥ O TECN EM CALD E;PIONEIRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;34017079.0001-85;MARCAO SERVICOS INDUSTRIAIS LTDA;PIONEIRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.10503.00;Entre Rios;11254572.0001-13;MAT MECANIZACAO AGRICOLA LTDA;CIDADE NOVA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.13705.00;Inhambupe;13404111.0001-05;C E CONSTRUTORA LTDA ME;LAGOA SECA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.13705.00;Inhambupe;02790225.0001-14;CIMBRA CONSTRU ≤ öES E SERVI ≤ OS LTDA;CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.13705.00;Inhambupe;12057768.0001-80;E C CONSTRUTORA LTDA;LAGOA REDONDA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.13705.00;Inhambupe;06853638.0001-51;IRMAOS RIBEIRO SERVICO DE;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;10666767.0001-08;ACCONS CONSTRUTORA E REPRESENTACOES;VILA BRASIL-SALA 20;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;10225263.0001-52;AGUA MAXIMA POCOS ARTESIANOS LTDA;BOA VISTA;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;00793450.0001-89;CONSTRULINE PROJETOS & CONSTRUCOES;BOA VISTA;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;40505851.0001-00;CONSTRUTORA E INCORPORADORA GRANDE;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;10662323.0001-02;ELETROESTE SERVICOS ELETRICOS LTDA;SANDRA REGINA;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;04271857.0001-05;JL COMERCIO DE PRODUTOS;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;01057281.0001-81;POTIRA INDUSTRIA E COMERCIO LTDA;RIBEIRAO;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;00083567.0001-79;PREMIUM CONSTRU ≤ öES E INCORPORA ≤ öES;BOA VISTA;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;04299861.0001-73;SANEP SERVICOS LTDA;VILA BRASIL;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;34060608.0001-23;TRATOMEC LTDA;LOT . RIO GRANDE;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;Lus Eduardo;04758954.0001-19;C . A . CERRATO CONSTRUTORA DE OBRAS;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;Lus Eduardo;09195609.0001-38;CASA PINTADA E PINTURAS LTDA;JARDIM DAS ACACIAS;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;Lus Eduardo;06120807.0001-44;COMANTEC COMANDOS ELETRICOS LTDA;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;Lus Eduardo;04071599.0001-05;CONSTRUTORA KAMPAY LTDA .;JARDIM PARAISO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;Lus Eduardo;06866382.0001-17;KENSY & VOGT LTDA;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;Lus Eduardo;03997338.0001-58;LIDERANCA INDUSTRIA DA CONSTRUCAO;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;Lus Eduardo;09069052.0001-99;PILAR CONSTRUTORA LTDA;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;Lus Eduardo;08979406.0001-70;PRISMA CONSTRUTORA LTDA;JARDIM PARAISO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;Lus Eduardo;01830845.0001-77;RIO GRANDE ENGENHARIA LTDA;CENTRO;2011
BA;BAHIA;29.04605.00;Brumado;29.02005.00;Aracatu;10830969.0001-43;ENCORE CONSTRUCAO E EMPREENDIMENTOS;CENTRO;2011
BA;BAHIA;29.04605.00;Brumado;29.02005.00;Aracatu;04459169.0001-65;PINHEIRO ASSIS CONSTRUCIES E OBRAS;CENTRO;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;14934137.0001-28;ADEMARIO AUGUSTO SOUZA;CENTRO;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;05679417.0001-46;AMIL MONTAGEM INDUSTRIAL LTDA;RODOVIARIO;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;13500550.0001-11;CASTRO E SILVA PROJETOS ELETRICOS;CENTRO;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;02018171.0001-73;COELHO SERVI ≤ OS LTDA;PRAZERES;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;03186888.0001-97;EPCL EMPREENDIMENTOS PROJETOS;CENTRO;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;08585179.0001-06;ROCHA E RIBEIRO LTDA;OLHOS DAGUA;2011
BA;BAHIA;29.04605.00;Brumado;29.31004.00;Tanha u;13549400.0001-00;ANA FLAVIA ANNONI MACHADO - EPP;CENTRO;2011
BA;BAHIA;29.04902.00;Cachoeira;29.08200.00;Concei o da;96789573.0001-15;AMA EMPREITEIRA LTDA;CENTRO;2011
BA;BAHIA;29.04902.00;Cachoeira;29.22300.00;Muritiba;07440770.0001-02;COMTECH ENGENHARIA LTDA;CENTRO;2011
BA;BAHIA;29.05206.00;Caetit {;29.05206.00;Caetit {;10199679.0001-43;ALCANCE CONSTRUCOES LTDA EPP;CENTRO MANIACU;2011
BA;BAHIA;29.05206.00;Caetit {;29.05206.00;Caetit {;13139622.0001-47;SILAS JUNIOR COLETA DE ALMEIDA;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;06106776.0001-77;A E M MANUTENCAO INDUSTRIAL LTDA;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;03423687.0001-66;ABAETØ MINERA ≤ ¥ O LTDA .;AREMBEPE;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;01519252.0001-94;ACQUA SOLO PERFURACOES DE POCOS;CATU DE ABRANTES;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;13616230.0001-21;ALENCAR BRAGA CONSTRU ≤ öES LTDA;ALTO DA CRUZ;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;08943812.0001-82;ALINEZIO FERREIRA SANTANA ME;BARRA DO JACUIP;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;01866501.0001-18;ANITA SANTOS OLIVEIRA;PARQUE VERDE;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;03772819.0001-65;ANTEAL EMPREENDIMENTOS IMOBILI RIOS;MONTE GORDO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;00856405.0001-26;CEMON ENGENHARIA E CONSTRU ≤ öES LTDA;POLO DE APOIO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;01411387.0001-31;CONCRETE LTDA;ALTO DA CRUZ;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;01678558.0001-93;CONSTRUTORA MACEDO MOTA LTDA;PONTO CERTO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;15726151.0001-07;CONSTRUTORA PEREIRA LIMA LIMITADA;POLO PETROQUIMICO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;10344996.0001-06;D P CONSTRUTORA LTDA ME;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;12355795.0001-30;DENIR VANDA SHCOTZ LEO;GLEBA B;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;34213967.0001-73;DIMARA CONSTRUTORA LTDA .;CAMACARI DE DENTRO;2011
