sigla da uf;nome da uf;codigo da agencia;nome da agencia;codigo do municipio;nome do municipio;cnpj;razao social;bairro;Ano do RelatÛrio
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;01175567.0001-61;ACRP PRESTA ß√O DE SERVI«OS EVENTUAIS LTDA;FAZENDA CAMBOATA , S / N - FAZENDA - BOA UNIAO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;06171308.0001-86;ALAGOINHAS TRANSPORTES LTDA;RUA CONSELHEIRO JUNQUEIRA , 912 - B - RUA DO CATU;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;08984659.0001-31;ASS SERVICOS DE MANUTENCAO;RUA ALEGRIA , 58 - JARDIM PEDRO BRAGA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;08207910.0001-51;ASSEIO SERVICE SISTEMA ATUAL DE LIMPEZA LTDA;CONJUNTO URBIS I , 10 - TERREO - JARDIM PETROLAR;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;12526597.0001-91;BASTOS CERQUEIRA CONSULTORIA LTDA;CJ FREI LEAO , 11 - RUA D - TERESOPOLIS;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;11214143.0001-12;BRASAN TRANSPORTES LTDA;TRAVESSA RIO BRANCO , 159 - ALAGOINHAS VELHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;04495108.0001-53;BRUNO SEABRA DE ALMEIDA BARRETO;RUA ANISIO CARDOSO , 30 - 1 ANDAR - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;05303232.0001-32;CELTA CONSTRUCOES LIMPEZA E TRANSPORTES LTDA;RUA NOVA INHAMBUPE , 1 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;05884000.0001-15;CH BARRETO;PRACA JJ SEABRA , 56 - 3 ANDAR - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;13912037.0001-38;CVM SERVICOS FUNERARIOS LTDA ME;AVENIDA AYRTON SENA DA SILVA , 19 , TERRE , S / N - ALAGOINHAS VELHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;01596418.0001-76;DI CREDICO TRANSPORTES FLORESTAIS LTDA;AVENIDA JURACY MAGALHAES , S / N - BR 101 KM 110 A - JURACY MAGALHAES;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;04438998.0001-61;EL SHADDAI EMPREENDIMENTOS EDUCACIONAL LTDA;RUA CORONEL ANISIO CARDOSO , 39 - EDF WALDY AZI - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;11042071.0001-73;ERASMO GOMES DOS SANTOS;THOMPSON FLORES , 1 - SILVA JARDIM;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;02840512.0001-91;FAST FOOD COM…RCIO DE ALIMENTOS LTDA .;RUA CONSELHEIRO FRANCO , 225 - CASA - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;10457647.0001-09;FERRAZ MANUTENCAO INDUSTRIAL LTDA ME;PARQUE HAVAI QUAD F L 2 , 1 - ESCRIT - ALAG VELHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;09333481.0001-21;FRIGORIFICO COSTA ANDRADE LTDA;RUA VINTE E UM DE ABRIL , 96 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;07549540.0001-78;GGP DE ASSIST NCIA FAMILIAR E AUXILIO;AVENIDA AYRTON SENA DA SILVA , 19 - ALAGOINHAS VELHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;05380440.0001-35;GRILLO E COSTA LTDA;RODOVIA BR 101 , S / N - KM 09 - SEDE;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;09071873.0001-60;HOTEL ABSOLAR LTDA;RUA DANTAS BI√O , 984 - HOTEL - ALAGOINHAS VELHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;01687620.0001-03;INDUSTRIA E COMERCIO DE ALIMENTOS AZEVEDO;RUA LAURO DE FREITAS , 93 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;02894367.0001-21;J R COMERCIO LTDA;RUA 24 DE MAIO , 139 - CASA - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;09318340.0001-30;J SANTOS REPARA ß√O DE MOTOCICLETAS LTDA;FAZENDA CRUZ CAETANA , S / N - RIACHO DA GUIA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;02162985.0001-87;JAGS ENSINO DE IDIOMAS LTDA;RUA JOSE GALDINO MAIA , S / N - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;02691256.0001-18;LEVA E TRAZ TRANSPORTES LTDA;RUA LUIZ VIANA , 09 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;11825194.0001-80;LOBO LOBO FLORESTAL LTDA;RUA MARGEM DA LINHA 871 , A , S / N - BARREIRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;02456583.0001-95;M . S . MOURA BARRETO;RUA LAURO DE FREITAS , 10 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;04624463.0001-85;MARNOB SERVI«OS FLORESTAIS LTDA;RUA PAULO AFONSO , S / N - 1 ANDAR - PRA«A KENNEDY;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;07731982.0001-30;OSVALTEC SERVICOS FLORESTAIS;RUA MANOEL VITORINO , 216 - CASA TERREO - TERESOPOLIS;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;07792015.0001-89;PARAISO TRANSPORTES URBANOS LTDA;RUA PADRE GODINHO , 690 - A - SANTA TEREZINHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;06145450.0001-59;PROMOGRAF SERVI«OS E PRODUTOS LTDA;RUA DANTAS BIAO , S / N - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;09209683.0001-66;R . R . EMPREENDIMENTOS IMOBILIARIOS LTDA .;RUA DANTAS BI√O , 678 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;02637067.0001-67;RAYMUNDO ALVES E CIA LTDA EPP;RUA RODOVIA BR 101 KM 112 , S / N - SN - ALAGOINHAS VELHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;02851025.0001-24;RC SERVI«OS FLORESTAIS LTDA EPP;RUA JO√O DE CASTRO , 88 - CASA - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;01460271.0001-92;RECAL REVESTIMENTO E CALDEIRARIA LTDA;QD F , LT 15 , DISTRITO INDUSTRIAL DE ALAGOINHAS , S / N - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;06296888.0001-38;S E C RESTAURANTE LTDA;RODOVIA BR 101 , KM 103 , 5 , S / N - LADO DIREITO - ALAGOINHAS VELHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;02113693.0001-54;SPAGNOL RESTAURANTE LANCHONETE E PIZZARIA;RUA FRANCISCO BATISTA , 12 - CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.05;Alagoinhas;03074623.0001-05;TEREZA CECILIA PEREIRA REBOUCAS;RUA GEONISIO BAROSO , 148 - RUA - BOA VISTA;2011
