sigla da uf;nome da uf;codigo da agencia;nome da agencia;codigo do municipio;nome do municipio;cnpj;razao social;bairro;Ano do RelatÛrio
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;03526791.0001-86;DA CRUZ ALVES DE CAETITE EPP;BR 101;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;08255687.0001-18;SCHNEIDER CAL«ADOS LTDA;CATU;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;13603733.0001-62;COMPANHIA INDUSTRIAL BRASIL;DISAI;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;07020906.0001-17;ß ADOS MALU LTDA;BARREIRO DE CIMA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;14852073.0001-16;CERAMICA ALAGOINHAS IND E COM;ZONA RURAL;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;04526495.0001-48;PROGESSO LTDA;SAUIPE;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;05442350.0001-21;INDUSTRIA DE TELHAS LTDA;ZONA RURAL;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;06136710.0001-20;BAHIA INDUSTRIA E COMERCIO;BR 101;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;07073579.0001-61;FRIGORIFICO REGIONAL DE;ZONA RURAL;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;02901672.0001-01;GRAFICA E EDITORA LTDA;JARDIM PETROLAR;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;40499907.0001-61;MARIANNA LTDA;LAGOA CAVADA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;34300665.0001-32;IND E COMERCIO DE;BR 101;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;11827595.0001-70;M SERVIOS GRAFICOS LTDA;STA TEREZINHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;00400467.0001-29;NORDESTE INDUSTRIAL LTDA;ZONA RURAL;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;06268813.0001-43;PRODUTOS CERAMICOS LTDA;SEDE;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.02203.00;Aramari;05822664.0001-50;SIAO BAHIA LTDA;SEDE;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;05488549.0001-90;AMAZONAS PERFURACOES LTDA;PIONEIRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;15621402.0001-80;COMERCIO E INDUSTRIA LTDA;SEDE;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;03039605.0001-84;SERVICOS GERAIS LTDA;CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;42129973.0001-75;BONFIM ALMEIDA ALMEIDA ME;PIONEIRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;15126451.0001-47;EMPRESA BRASILEIRA DE;PIONEIRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;15129646.0001-40;SOCIEDADE TECNICA DE;PIONEIRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.10503.00;Entre Rios;16264954.0001-41;BOMFIM BATISTA DE CARVALHO;MILAGRES;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.13705.00;Inhambupe;11318208.0001-70;INHAMBUPE LTDA;CENTRO;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.29701.00;S¿tiro Dias;03299253.0001-04;PLANALTO LTDA;SEDE;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;12508055.0001-96;AEROCENTRO MONTAGEM;ZONA RURAL;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;03798151.0001-25;ALGODOEIRA DO OESTE LTDA;NOVO HORIZONTE;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;10662481.0001-54;KAZUNORI TANAKA;PRIMAVERA;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;34122432.0001-97;BARREIRAS LTDA .;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;96698998.0001-19;ROSA RIBEIRO;S√O MIGUEL;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;04517646.0001-00;INDUSTRIAL LTDA;DISTRITO INDUSTRIAL;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;01108196.0001-03;FRUT INDUSTRIA DE BEBIDAS LTDA;DISTRITO INDUSTRIAL;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;07462434.0001-52;HENRIQUE GONCALVES ALMEIDA;VILA BRASIL;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;04377477.0001-41;AGRO INDUSTRIAL DE;DISTRITO INDUSTRIAL;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;40541625.0001-85;MUTTI DE ALMEIDA NETO;ZONA RURAL;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;08694043.0001-26;SERAFIM PORTO E CIA LTDA - ME;NOVO HORIZONTE;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;13653928.0001-17;GRAFICA E EDITORA IRM√OS;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;07876234.0001-46;ALVES RIBEIRO;VILA DULCE;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;34023382.0001-90;K-LU LTDA;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;13661194.0001-18;DE TECIDOS BARREIRENSE;SANDRA REGINA;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;34361824.0001-09;METALURGICA CONSTRUTORA;BARREIRINHAS;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;11083027.0001-01;RIO DE ONDAS LTDA;BOA VISTA;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;10319083.0001-30;COSTA MINERACAO LTDA;NOVO HORIZONTE;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;04196024.0001-19;COELHO BARRETO FILHO & CIA;FLAMENGO;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;05207456.0001-40;BAHIA LTDA;VILA DULCE;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;07902377.0001-85;BAND INDUSTRIA E COMERCIO DE;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;16346686.0001-07;INDUSTRIA E COMERCIO DE;DISTRITO INDUSTRIAL;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;04090307.0001-81;ORSOLIN;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;13319927.0001-30;BENEFICIADORA DE ALGODAO LTD;CENTRO INDUSTRIAL;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;10241259.0001-88;AUGUSTO CERRATO;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;02899147.0001-90;CERENTINI ME;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;11226369.0001-33;REPKE ULLRICH;ALTO DA LAGOA;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;07720347.0001-58;SANTA TEREZINHA LTDA;JARDIM PARAISO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;05984654.0001-10;CORUJINHA LTDA;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;03299040.0001-74;PRESTADORA DE SERVI«OS LTDA;JARDIM PARAISO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;02693803.0001-02;MIMOSO LTDA;JARDIM PARAISO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;01243899.0001-36;PORTO ENGENHARIA LTDA;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;07320895.0001-90;MONTAGENS LTDA;SANTA CRUZ;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;07133350.0001-75;RECAPAGEM E PNEUS LTDA;CENTRO IND . CERRADO;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;LuÃs Eduardo;07654112.0001-05;& COELHO LTDA;CENTRO;2011
BA;BAHIA;29.03201.00;Barreiras;29.28901.00;S¡o Desid»rio;07255761.0001-33;ALGODOEIRA PARANA LTDA;RODA VELHA;2011
BA;BAHIA;29.03201.00;Barreiras;29.28901.00;S¡o Desid»rio;14746937.0001-15;ß√O S√O JORGE LTDA;SEDE;2011
BA;BAHIA;29.03201.00;Barreiras;29.28901.00;S¡o Desid»rio;03785076.0001-68;LINS LTDA;KM 02;2011
BA;BAHIA;29.03904.00;Bom Jesus da Lapa;29.26400.00;Riacho de;03129524.0001-75;RIACH√O LTDA;BELEM;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;06177921.0001-00;LOBO ATAIDE;CENTENARIO;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;06207545.0001-50;BAHIA LTDA;S√O FELIZ;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;13505672.0001-09;BRUMADO;ZONA RURAL;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;05194516.0001-38;REAL LTDA;ZONA RURAL;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;61442810.0001-92;NORDESTE S / A;ZONA RURAL;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;10297799.0001-83;E ROCHA;ZONA RURAL;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;63192983.0001-25;E CARPINTARIA MEIRA LTDA;FELICIANO P . SANTOS;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;07003113.0001-90;E FRIGORIFICO BRUMADO;ZONA RURAL;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;04858096.0001-84;DE PNEUS VM LTDA;S√O FELIX;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;01983946.0001-88;E LEITE LTDA;S√O JORGE;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;62477088.0001-94;S / A;RURAL;2011
