sigla da uf;nome da uf;codigo da agencia;nome da agencia;codigo do municipio;nome do municipio;cnpj;razao social;Ano do RelatÛrio
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;13603733.0001-62;BRESPEL COMPANHIA INDUSTRIAL BRASIL ESPANHA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.00702.00;Alagoinhas;07020906.0001-17;CAL«ADOS MALU LTDA;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;15126451.0001-47;PERBRAS EMPRESA BRASILEIRA DE PERFURA«’ES;2011
BA;BAHIA;29.00702.00;Alagoinhas;29.07509.00;Catu;15129646.0001-40;SOTEP SOCIEDADE TECNICA DE PERFURACAO S. A;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;34122432.0001-97;AVICOLA BARREIRAS LTDA.;2011
BA;BAHIA;29.03201.00;Barreiras;29.03201.00;Barreiras;04377477.0001-41;FRIBARREIRAS AGRO INDUSTRIAL DE ALIMENTOS LTDA;2011
BA;BAHIA;29.03201.00;Barreiras;29.19553.00;Lu√ås Eduardo Magalh√Åes;03299040.0001-74;LIDER PRESTADORA DE SERVI«OS LTDA EPP;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;61442810.0001-92;IBAR NORDESTE S / A;2011
BA;BAHIA;29.04605.00;Brumado;29.04605.00;Brumado;62477088.0001-94;XILOLITE S / A;2011
BA;BAHIA;29.04902.00;Cachoeira;29.04902.00;Cachoeira;03384037.0001-59;MASTROTTO BRASIL S / A;2011
BA;BAHIA;29.05206.00;Caetit√à;29.32606.00;Urandi;10447250.0001-28;SUBLIME DOUTO TEXTIL LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;00903166.0001-18;ASPIL ASPIRA«√O INDUSTRIAL E SERVI«OS LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;69037133.0001-39;BAHIA SPECIALTY CELLULOSE;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;42150391.0001-70;BRASKEM S / A;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;15689185.0001-60;CATA TECIDOS E EMBALAGENS INDUSTRIAIS LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;13786785.0001-11;CERAMUS BAHIA S / A PRODUTOS CERAMICOS;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;13546106.0001-37;DETEN QUIMICA S / A;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;13997333.0001-89;EXTERRAN MANUTEN«√O INDUSTRIAL LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;05550030.0001-95;FAZ MANUTEN«√O E SERVI«OS LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;01104740.0001-30;G&amp E MANUTEN«√O E SERVI«OS LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;01284897.0001-95;J &amp  J MONTAGEM E MANUTEN«√O LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;13573332.0001-07;KORDSA BRASIL S / A;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;15115504.0001-24;MILLENNIUM INORGANIC CHEMICALS DO BRASIL S / A;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;00183256.0001-81;MKS CALDEIRARIA INDUSTRIA E COM…RCIO LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;03924613.0001-03;NIPPON ENGENHARIA LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;16401168.0001-49;NORCONTROL ENGENHARIA LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;03970326.0001-30;NORDESTE INDUSTRIA E COMERCIO LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;02441724.0001-04;PELZER DA BAHIA LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;04697913.0001-60;PRISMA PACK IND. DE FILMES T…CNICOS E EMB. LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;27515154.0001-72;PROQUIGEL QUIMICA SA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;14727457.0001-07;QUIMICA GERAL DO NORDESTE S. A.;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;14807945.0001-24;SANSUY S / A INDUSTRIA DE PLASTICOS EM REC. JUDICIAL;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;04054381.0001-42;SIAN-SISTEMAS DE ILUMINA«√O AUTOMOTIVA DO NE. LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;04095571.0001-08;SODECIA DA BAHIA LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.05701.00;Cama«ari;01390563.0001-04;TECNOWAY MANUTEN«’ES E MONTAGENS LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.10057.00;Dias d  vila;04496698.0001-39;INCENOR IND⁄STRIA CER ¬MICA DO NORDESTE LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.10057.00;Dias d  vila;01412207.0001-36;PPL MANUTEN«√O E SERVIR«OS LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.10057.00;Dias d  vila;04390556.0001-92;TECNOGRES REVESTIMENTOS CER ¬MICOS LTDA;2011
BA;BAHIA;29.05701.00;Cama«ari;29.21005.00;Mata de S√Åo Jo√Åo;03342704.0001-30;PETRORECONCAVO S. A;2011
BA;BAHIA;29.05701.00;Cama«ari;29.25204.00;Pojuca;15141799.0001-03;CIA DE FERRO LIGAS DA BAHIA;2011
BA;BAHIA;29.08408.00;Concei«√Åo do Coit√à;29.08408.00;Concei«√Åo do Coit√à;05769698.0001-28;COTESI DO BRASIL COM. IND. FIOS E PART LTDA;2011
BA;BAHIA;29.08408.00;Concei«√Åo do Coit√à;29.08408.00;Concei«√Åo do Coit√à;01670644.0001-50;INDUSTRIA E COMERCIO DE CAL«ADOS LOPES LTDA;2011
