"cod_municipio","arquivo","cnpj","razao_social","ano_do_relatorio","cod_agencia","nome_municipio","nome_agencia","pesquisa","tipo","bbox.1","bbox.2","bbox.3","bbox.4","endereco_google"
"2900108","../data/2012/pas_comum.csv","11404272.0001-73","COMPREENDER ASSESSORIA DE EDUCAO",2011,"291950400","Abaíra","Livramento de Nossa Senhora","pas","comum",-41.9094895279999,-13.1654920369999,-41.5901296999999,-13.4281558424267,"PCA FRANCISCO PEREIRA , 21 - TERREO - CENTRO, Abaíra, BA, Brazil"
"2900355","../data/2012/pac_comum.csv","05442239.0001-35","JACKSON LUIZ FERREIRA DIAS ME",2011,"292660800","Adustina","Ribeira do Pombal","pac","comum",-38.149792428,-10.4328626749999,-37.9027362739999,-10.7191015729036,"TV FRANCISCO MANOEL , 16 - SALAO - CENTRO, Adustina, BA, Brazil"
"2900603","../data/2012/pas_comum.csv","09504198.0001-15","WASHINGTON SANTOS DE JESUS",2011,"291800100","Aiquara","Jequié","pas","comum",-39.93885255,-14.0111420938875,-39.793748046,-14.1836790114488,"RUA ERTULINO VICENTE DE SOUZA , 48 - B - SAO FRANCISCO, Aiquara, BA, Brazil"
"2900702","../data/2012/pac_comum.csv","05973832.0001-08","ADAILTON DA SILVA ME",2011,"290070200","Alagoinhas","Alagoinhas","pac","comum",-38.602069999,-11.927652533382,-38.273112477,-12.2822523893927,"PCA PADRE ALFREDO , 62 - CENTRO, Alagoinhas, BA, Brazil"
"2900702","../data/2012/pac_comum.csv","10441172.0001-54","ALAGOINHAS MITO MOTOS LTDA",2011,"290070200","Alagoinhas","Alagoinhas","pac","comum",-38.602069999,-11.927652533382,-38.273112477,-12.2822523893927,"AVENIDA JURACY MAGALHAES , 595 - CENTRO, Alagoinhas, BA, Brazil"
"2900702","../data/2012/pac_comum.csv","00824232.0001-64","ALAGOINHAS TECIDOS E CONFECÇ´ ES LTDA",2011,"290070200","Alagoinhas","Alagoinhas","pac","comum",-38.602069999,-11.927652533382,-38.273112477,-12.2822523893927,"RUA PRACA DA BANDEIRA , 113 - CENTRO, Alagoinhas, BA, Brazil"
"2900702","../data/2012/pac_comum.csv","08696073.0001-71","ALAGOMINAS CALCADOS LTDA",2011,"290070200","Alagoinhas","Alagoinhas","pac","comum",-38.602069999,-11.927652533382,-38.273112477,-12.2822523893927,"PRC PADRE ALFREDO SN , S / N - TEREO - CENTRO, Alagoinhas, BA, Brazil"
"2900702","../data/2012/pac_comum.csv","07618208.0001-18","ALFAMASTER CONFECÇ´ ES LTDA",2011,"290070200","Alagoinhas","Alagoinhas","pac","comum",-38.602069999,-11.927652533382,-38.273112477,-12.2822523893927,"RUA FRANCISCO BATISTA , 110 - B - CENTRO, Alagoinhas, BA, Brazil"
"2900702","../data/2012/pac_comum.csv","40493066.0001-85","AQUA FRESCA PERFUMARIA E COSMETICOS LTDA .",2011,"290070200","Alagoinhas","Alagoinhas","pac","comum",-38.602069999,-11.927652533382,-38.273112477,-12.2822523893927,"RUA J . J SEABRA , 45 - CASA - CENTRO, Alagoinhas, BA, Brazil"
"2900702","../data/2012/pac_comum.csv","08715685.0001-64","ARATES DISTRIBUIDORA DE BEBIDAS LTDA",2011,"290070200","Alagoinhas","Alagoinhas","pac","comum",-38.602069999,-11.927652533382,-38.273112477,-12.2822523893927,"RUA CONSELHEIRO DANTAS , 450 - CASA - KENNEDY, Alagoinhas, BA, Brazil"
"2900702","../data/2012/pac_comum.csv","13513940.0001-26","ARMARINHO E CONFECÇOES FAGUNDES",2011,"290070200","Alagoinhas","Alagoinhas","pac","comum",-38.602069999,-11.927652533382,-38.273112477,-12.2822523893927,"RUA FRANCISCO BATISTA , 2 - CENTRO, Alagoinhas, BA, Brazil"
"2900702","../data/2012/pac_comum.csv","08030659.0001-00","BARRETO VEICULOS LTDA",2011,"290070200","Alagoinhas","Alagoinhas","pac","comum",-38.602069999,-11.927652533382,-38.273112477,-12.2822523893927,"AVENIDA JURACY MAGALHAES , S / N - CENTRO, Alagoinhas, BA, Brazil"
"2900702","../data/2012/pac_comum.csv","32619454.0001-31","BASTOS FREITAS & CIA LTDA",2011,"290070200","Alagoinhas","Alagoinhas","pac","comum",-38.602069999,-11.927652533382,-38.273112477,-12.2822523893927,"RUA DR JOÃO DANTAS , 1220 - LOJA - CENTRO, Alagoinhas, BA, Brazil"
"2900702","../data/2012/pac_comum.csv","01471949.0001-32","BRASKOL DISTRIBUIDORA DE BEBIDAS LTDA",2011,"290070200","Alagoinhas","Alagoinhas","pac","comum",-38.602069999,-11.927652533382,-38.273112477,-12.2822523893927,"AVENIDA JURACY MAGALHAES , S / N - CENTRO, Alagoinhas, BA, Brazil"
"2900702","../data/2012/pac_comum.csv","09071894.0001-85","CEAB SUPERMERCADOS LTDA",2011,"290070200","Alagoinhas","Alagoinhas","pac","comum",-38.602069999,-11.927652533382,-38.273112477,-12.2822523893927,"AVENIDA LOURIVAL BATISTA , 10 - CENTRO, Alagoinhas, BA, Brazil"
